Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
"C11, C12",0805,2,0.1uF,
"C14, C8",0805,2,10uF,
C2,0805,1,4.7uF,
"C3, C4",0805,2,12.5pF,
C6,0805,1,4.7nF 1KV,
D1,LED_CLMVC-FKA-CLBDGL7LBB79353,1,CLMVC-FKA-CLBDGL7LBB79353,
J1,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Conn_ST_STDC14,
J4,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,
"Q1, Q2, Q3",SOT-23,3,MMBT3904,
"R10, R12, R8, R9",0805,4,10k,
R2,0805,1,1M,
R5,0805,1,470,
R6,0805,1,220,
R7,0805,1,51,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32G031K8Tx,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal,
