Designator,Mid X,Mid Y,Rotation,Layer
C1,154.889493,-107.514176,270.0,top
C11,151.549293,-90.914976,180.0,top
C12,147.699293,-112.564976,0.0,top
C14,146.749293,-88.839976,180.0,top
C2,152.914493,-107.514176,270.0,top
C3,148.389493,-102.014176,90.0,top
C4,148.489493,-106.514176,270.0,top
C6,141.499293,-94.289976,90.0,top
C8,139.624293,-88.639976,270.0,top
D1,171.324293,-88.164976,270.0,top
J1,150.409293,-121.289976,90.0,top
J4,136.049293,-90.964976,270.0,top
Q1,166.099293,-94.427476,270.0,top
Q2,162.649293,-93.914976,270.0,top
Q3,159.149293,-91.652476,270.0,top
R10,158.399293,-95.302476,90.0,top
R12,144.049293,-88.177476,270.0,top
R2,141.499293,-97.739976,270.0,top
R5,159.949293,-87.964976,270.0,top
R6,162.299293,-90.252476,270.0,top
R7,166.099293,-90.777476,270.0,top
R8,165.299293,-98.114976,90.0,top
R9,161.899293,-97.564976,90.0,top
U1,161.709293,-106.844976,270.0,top
U2,146.149293,-94.314976,90.0,top
Y1,150.689493,-104.314176,90.0,top
